Metadata_Plate	Metadata_Site	Metadata_Well	Metadata_genotype	Metadata_number_of_singlecells	UMAP0	UMAP1
Plate_3_prime	9	D4	WT	358	1.9806191	2.7149453
Plate_3	8	G12	Null	481	0.7156854	0.95437664
Plate_3_prime	25	E4	WT	246	1.9508764	0.6464843
Plate_3_prime	4	G12	Null	187	2.2494617	-0.79122794
Plate_3	20	B4	WT	559	3.2062197	-0.081839934
Plate_5	2	G10	Null	129	-1.1488762	-0.99569
Plate_5	14	G3	WT	121	2.0495434	-1.0348575
Plate_5	20	F4	WT	94	3.4703586	-1.5349065
Plate_3	6	F3	WT	185	0.65782624	-3.277754
Plate_3	8	G12	Null	481	2.6482012	-1.7525997
Plate_3	16	G2	WT	52	0.5942721	-3.0080428
Plate_3	22	F4	WT	438	3.5539718	-1.3059324
Plate_3	7	D4	WT	636	3.8493524	1.266495
Plate_5	2	F3	WT	92	3.0969746	0.5608672
Plate_5	19	D11	Null	178	2.3020227	-3.0101786
Plate_3_prime	20	D3	WT	168	-0.2719762	-1.2745467
Plate_3	20	C12	Null	570	5.21645	-2.2352765
Plate_5	18	D2	WT	98	-0.35743734	-0.48786968
Plate_3_prime	8	C3	WT	138	2.349054	-2.2570221
Plate_3	13	G1	WT	55	-0.21151833	2.374464
Plate_3	13	F11	Null	329	1.6517804	-0.54162896
Plate_5	10	D2	WT	98	2.8388278	-2.6492543
